7.11,330.26,167.68
7.59,330.61,166.69
7.55,330.89,166.61
8.00,330.36,166.13
6.75,330.49,168.18
7.72,331.48,165.99
6.92,330.75,167.78
6.89,330.28,168.06
7.54,330.95,166.60
7.88,330.40,166.30
7.23,330.66,167.29
7.07,329.95,167.89
7.19,330.00,167.67
6.94,330.89,167.67
7.22,330.91,167.17
7.85,330.70,166.19
7.13,330.79,167.38
6.55,331.33,168.14
7.26,330.19,167.46
7.15,329.87,167.81
7.53,330.77,166.72
6.76,330.65,168.09
7.20,330.18,167.57
6.86,330.82,167.85
6.55,330.85,168.36
7.48,331.05,166.66
6.38,330.01,169.04
6.69,330.51,168.27
7.36,330.56,167.10
7.38,330.01,167.35
7.78,330.57,166.39
7.10,330.90,167.38
6.73,330.09,168.41
6.66,330.27,168.44
7.82,330.75,166.22
7.01,331.09,167.45
7.26,330.31,167.41
7.81,330.39,166.42
7.45,331.18,166.64
7.08,331.39,167.17
7.54,330.64,166.76
6.86,330.97,167.76
6.70,330.93,168.06
7.36,330.31,167.23
7.88,330.24,166.40
7.27,330.11,167.48
7.33,330.77,167.05
7.56,330.73,166.67
6.41,330.75,168.65
7.64,331.53,166.11
7.73,330.78,166.36
6.11,330.24,169.40
7.03,330.66,167.62
7.79,330.61,166.34
7.35,330.62,167.09
7.11,330.70,167.47
7.40,330.42,167.12
6.93,330.54,167.86
7.02,330.51,167.72
7.91,330.41,166.26
7.44,330.94,166.78
6.73,331.36,167.81
6.88,330.52,167.96
6.52,330.30,168.67
7.88,330.98,166.00
7.23,330.72,167.26
6.97,330.56,167.78
7.08,330.52,167.61
6.69,330.58,168.25
6.13,329.51,169.65
7.09,330.05,167.82
7.74,330.14,166.69
7.41,330.24,167.19
7.74,330.79,166.33
7.42,331.02,166.77
7.00,331.31,167.36
6.77,331.64,167.60
6.67,330.99,168.09
6.71,330.06,168.46
7.45,329.87,167.31
7.38,330.68,167.01
6.92,330.09,168.09
7.11,329.84,167.89
7.07,329.99,167.89
7.79,330.45,166.44
7.63,330.16,166.86
7.99,330.07,166.30
7.03,329.86,168.01
7.38,330.06,167.33
7.20,330.14,167.59
7.35,329.62,167.59
6.91,330.05,168.11
7.17,330.18,167.61
